nom_estab,nombre_act,telefono,latitud,longitud,codigo_act,municipio
CLINICA VETERINARIA MASTER PET,Servicios veterinarios para mascotas prestados por el sector privado,2221611902,19.01959302,-98.21851691,541941,Puebla
CLINICA VETERINARIA MEDICAN,Servicios veterinarios para mascotas prestados por el sector privado,2761070666,19.22608024,-97.80065494,541941,Rafael Lara Grajales
CLINICA VETERINARIA MEDICANS,Servicios veterinarios para mascotas prestados por el sector privado,2225201849,19.03159316,-98.17426059,541941,Puebla
CLINICA VETERINARIA MEDIVET,Servicios veterinarios para mascotas prestados por el sector privado,2481297590,19.28285842,-98.44798176,541941,San Martín Texmelucan
CLINICA VETERINARIA MENESES,Servicios veterinarios para mascotas prestados por el sector privado,2222832411,19.00811048,-98.32339639,541941,San Gregorio Atzompa
CLINICA VETERINARIA MERC,Servicios veterinarios para mascotas prestados por el sector privado,2223216048,18.99436467,-98.24702275,541941,Puebla
CLINICA VETERINARIA MIAU & GUAU,Servicios veterinarios para mascotas prestados por el sector privado,2227096372,19.0253952,-98.21655359,541941,Puebla
CLINICA VETERINARIA MS,Servicios veterinarios para mascotas prestados por el sector privado,2222009856,19.08746116,-98.24656959,541941,Cuautlancingo
CLINICA VETERINARIA NEALTI-CAN,Servicios veterinarios para mascotas prestados por el sector privado,2271097241,19.05080938,-98.4272967,541941,Nealtican
CLINICA VETERINARIA OLIVARES,Servicios veterinarios para mascotas prestados por el sector privado,2224450840,19.06497308,-98.30371536,541941,San Pedro Cholula
CLINICA VETERINARIA PET AND HEALTH,Servicios veterinarios para mascotas prestados por el sector privado,2221107840,19.07001814,-98.11654374,541941,Puebla
CLINICA VETERINARIA PETSEPOLIS,Servicios veterinarios para mascotas prestados por el sector privado,2221357436,19.06273898,-98.18111292,541941,Puebla
CLINICA VETERINARIA POLO PETS,Servicios veterinarios para mascotas prestados por el sector privado,2228654834,19.04654568,-98.09175536,541941,Amozoc
CLINICA VETERINARIA RAMIREZ,Servicios veterinarios para mascotas prestados por el sector privado,9531240438,18.20171272,-98.04644175,541941,Acatlán
CLINICA VETERINARIA RANGER,Servicios veterinarios para mascotas prestados por el sector privado,7761171811,20.18565209,-98.06524622,541941,Huauchinango
CLINICA VETERINARIA REAL DEL MONTE,Servicios veterinarios para mascotas prestados por el sector privado,2223460702,19.06739293,-98.22270843,541941,Puebla
CLINICA VETERINARIA REVENCLAW,Servicios veterinarios para mascotas prestados por el sector privado,2227922335,19.04354069,-98.24172604,541941,Puebla
CLINICA VETERINARIA RIVERA,Servicios veterinarios para mascotas prestados por el sector privado,2481224219,19.28403728,-98.44116967,541941,San Martín Texmelucan
CLINICA VETERINARIA SAN DIEGO,Servicios veterinarios para mascotas prestados por el sector privado,2221485066,19.07521163,-98.2934509,541941,San Pedro Cholula
CLINICA VETERINARIA SAN FRANCISCO,Servicios veterinarios para la ganadería prestados por el sector privado,2223298787,18.96836831,-98.1818245,541943,Puebla
CLINICA VETERINARIA SAN FRANCISCO,Servicios veterinarios para mascotas prestados por el sector privado,2223680565,18.98152359,-98.23283454,541941,Puebla
CLINICA VETERINARIA SANBAU,Servicios veterinarios para mascotas prestados por el sector privado,2225505249,18.9039614,-97.97230749,541941,Tecali de Herrera
CLINICA VETERINARIA SANFER,Servicios veterinarios para mascotas prestados por el sector privado,2225760546,19.06168588,-98.20710173,541941,Puebla
