NOMBRE ,TIPO,ENTRE CALLES ,COLONIA,LATITUD,LONGITUD
BOSQUES DE SAN SEBASTIAN 26,JARDIN VECINAL,ENTRE RETORNO 5 B Y CALLE 7 B,BOSQUES DE SAN SEBASTIAN,19.059053,-98.132585
BOSQUES DE SAN SEBASTIAN 28,PARQUE,ENTRE BOULEVARD MONTERREY Y CALLE 3 B,BOSQUES DE SAN SEBASTIAN,19.058402,-98.134084
U.H RIVERA ANAYA 4,JARDIN,ENTRE VICENTE LOMBARDO Y PEDRO CASTILLO,MANUEL RIVERA  ANAYA INFONAVIT,19.056475,-98.143875
PARQUE SAN MARINO (ESPAÑA),PARQUE,ENTRE CALLES SAN MARINO Y ESPAÑA,BOSQUES DEL PILAR FRACCIONAMIENTO,19.056492,-98.123674
U.H RIVERA ANAYA 10,PARQUE,ENTRE FRANCISCO VILLA Y FILOMENO ESCAMILLA,MANUEL RIVERA ANAYA INFONAVIT,19.053254,-98.150944
GUADALUPE CALERAS,PARQUE,SOBRE CALLE GUADALUPE VICTORIA Y 8 D ORIENTE,UNE MOVIMIENTO SINDICAL,19.104864,-98.223392
EL ROBLE 1,AREA VERDE,PROLONGACION 8 ORIENTE ENTRE 10 NORTE Y 12 NORTE,EL ROBLE I FRACCIONAMIENTO,19.103514,-98.222744
EL FRESNO,PARQUE,CALLE DEL FRESNO ENTRE CARRETERA A TLAXCALA Y CALLE DEL OLIVO,EL FRESNO,19.105332,-98.208634
UNIDAD SAN ANGEL,PARQUE,RIO BALSAS ENTRE 10 ORIENTE Y RIO LERMA,UNIDAD SAN ANGEL,19.027402,-98.147108
CIUDAD SATELITE 1,JARDIN,AVENIDA DRAMATURGOS Y SOR JUANA INES DE LA CRUZ,CIUDAD SATELITE,19.046074,-98.150186
LOMAS DE COYOPOTRERO,CANCHA DEPORTIVA,C. NIÑOS HEROES Y GUILLERMO PRIETO,LOMAS DE COYOPOTRERO,19.109967,-98.218641
SANTO DOMINGO,PARQUE,C. VICENTE GUERRERO ENTRE C. DE LA PRESA Y XAYACATZIN,SANTO DOMINGO,19.094242,-98.216983
MANUEL RIVERA ANAYA,ÁREA VERDE,CERRADA VICENTE ISLAS GONZALEZ ENTRE FILOMENO ESCAMILLA Y FILOMENO ESCAMILLA,MANUEL RIVERA ANAYA,19.053451,-98.150843
SAN PABLO XOCHIMEHUACAN 1,AREA VERDE,ENTRE ORQUIDEAS Y PETALOS,SAN PABLO XOCHIMEHUACAN,19.107628,-98.204373
SAN PABLO XOCHIMEHUACAN 3,PARQUE,CALLE LOS PINOS ENTRE FIDEL VELAZQUEZ Y SANTA BARBARA,SAN PABLO XOCHIMEHUACAN,19.097353,-98.195536
BOSQUES DE SAN SEBASTIAN 7,JARDIN,ENTRE CALLE 1 B Y BOULEVARD MEXICO,BOSQUES DE SAN SEBASTIAN,19.061192,-98.135065
U.H AMALUCAN 5,JARDIN VECINAL,AHUEHUETE ENTRE RETORNO AHUEHUETE Y AVENIDA ROBLE,AMALUCAN INFONAVIT,19.050916,-98.148854
ENCINAR,PARQUE,RÍO BRAVO ENTRE EUCALIPTO Y CEDRO,EL ENCINAR,19.025395,-98.143756
