CVEGEO,areas_verdes_m2,NOM_MUN,POBTOT,IM_2020,av_por_hab,av_norm,margin_norm,IARRI
21201,37759716.75,Xochiltepec,3375,,11188.06422,0.064864483,0.65,0.064864483
21202,77803785.2,Xochitlan de Vicente Suarez,13025,,5973.419209,0.03456999,0.65,0.03456999
21203,74045530.38,Xochitlan Todos Santos,7178,,10315.6214,0.059796024,0.65,0.059796024
21204,18380538.25,Yaonahuac,7926,,2319.0182,0.013339739,0.65,0.013339739
21205,46426789.42,Yehualtepec,26392,,1759.123576,0.01008703,0.65,0.01008703
21206,206940832.1,Zacapala,4647,,44532.13516,0.258576944,0.65,0.258576944
21207,104969372.4,Zacapoaxtla,57887,,1813.349671,0.010402056,0.65,0.010402056
21208,357977959.6,Zacatlan,87361,,4097.686148,0.023672914,0.65,0.023672914
21209,230370702,Zapotitlan,8595,,26802.874,0.155578758,0.65,0.155578758
21210,20200913.57,Zapotitlan de Mendez,5675,,3559.632347,0.02054709,0.65,0.02054709
21211,4712072.095,Zaragoza,16752,,281.2841508,0.001501518,0.65,0.001501518
21212,148897543.1,Zautla,20717,,7187.21548,0.041621543,0.65,0.041621543
21213,116538837.7,Zihuateutla,11967,,9738.350272,0.056442366,0.65,0.056442366
21214,62674320.01,Zinacatepec,18359,,3413.819925,0.019699992,0.65,0.019699992
21215,30439425.71,Zongozotla,4539,,6706.196455,0.038827061,0.65,0.038827061
21216,16239296.2,Zoquiapan,2452,,6622.877732,0.038343021,0.65,0.038343021
21217,229520531,Zoquitlan,20335,,11286.96981,0.065439075,0.65,0.065439075
